session_test_id,code_anonyme,age,genre,musicien,musicien_longueur,musicien_debut,musicien_diplome,deficience,info_methode,session_uuid,trial_id,rating_stimulus,rating_score,rating_time,rating_comment
test_clarinette_casque,fezfz,3,homme,oui,f,f,oui,oui,f,1db7e82d-142e-4f36-8525-b6c78e291a1d,P_P3,AA7P_1C_DN,96,8177,
test_clarinette_casque,fezfz,3,homme,oui,f,f,oui,oui,f,1db7e82d-142e-4f36-8525-b6c78e291a1d,P_P3,reference,10,8177,
test_clarinette_casque,fezfz,3,homme,oui,f,f,oui,oui,f,1db7e82d-142e-4f36-8525-b6c78e291a1d,P_P3,AI2P_3C_DN,84,8177,
test_clarinette_casque,fezfz,3,homme,oui,f,f,oui,oui,f,1db7e82d-142e-4f36-8525-b6c78e291a1d,P_P1,AA7P_1C_DN,80,6036,
test_clarinette_casque,fezfz,3,homme,oui,f,f,oui,oui,f,1db7e82d-142e-4f36-8525-b6c78e291a1d,P_P1,reference,33,6036,
test_clarinette_casque,fezfz,3,homme,oui,f,f,oui,oui,f,1db7e82d-142e-4f36-8525-b6c78e291a1d,P_P1,AC3P_1C_DN,74,6036,
test_clarinette_casque,fezfz,3,homme,oui,f,f,oui,oui,f,1db7e82d-142e-4f36-8525-b6c78e291a1d,P_P1,AI2P_3C_DN,10,6036,
test_clarinette_casque,fezfz,3,homme,oui,f,f,oui,oui,f,1db7e82d-142e-4f36-8525-b6c78e291a1d,G_P1,AC3G_5C_DN,87,8637,
test_clarinette_casque,fezfz,3,homme,oui,f,f,oui,oui,f,1db7e82d-142e-4f36-8525-b6c78e291a1d,G_P1,AC3G_3C_DN,100,8637,
test_clarinette_casque,fezfz,3,homme,oui,f,f,oui,oui,f,1db7e82d-142e-4f36-8525-b6c78e291a1d,G_P1,AA7G_1C_DN,91,8637,
test_clarinette_casque,fezfz,3,homme,oui,f,f,oui,oui,f,1db7e82d-142e-4f36-8525-b6c78e291a1d,G_P1,AC3G_4C_DN,96,8637,
